round,week,date,home_team,away_team,home_score,away_score,game_id
1,1,2025-08-22 18:30:00+00:00,FC Bayern München,RB Leipzig,6.0,0.0,14056037
1,1,2025-08-23 13:30:00+00:00,1. FC Heidenheim,VfL Wolfsburg,1.0,3.0,14062011
1,1,2025-08-23 13:30:00+00:00,1. FC Union Berlin,VfB Stuttgart,2.0,1.0,14062006
1,1,2025-08-23 13:30:00+00:00,Bayer 04 Leverkusen,TSG Hoffenheim,1.0,2.0,14062009
1,1,2025-08-23 13:30:00+00:00,Eintracht Frankfurt,SV Werder Bremen,4.0,1.0,14057744
1,1,2025-08-23 13:30:00+00:00,SC Freiburg,FC Augsburg,1.0,3.0,14062012
1,1,2025-08-23 16:30:00+00:00,FC St. Pauli,Borussia Dortmund,3.0,3.0,14062008
1,1,2025-08-24 13:30:00+00:00,1. FSV Mainz 05,1. FC Köln,0.0,1.0,14062010
1,1,2025-08-24 15:30:00+00:00,Borussia M'gladbach,Hamburger SV,0.0,0.0,14062007
2,2,2025-08-29 18:30:00+00:00,Hamburger SV,FC St. Pauli,0.0,2.0,14065074
2,2,2025-08-30 13:30:00+00:00,VfB Stuttgart,Borussia M'gladbach,1.0,0.0,14065065
2,2,2025-08-30 13:30:00+00:00,RB Leipzig,1. FC Heidenheim,2.0,0.0,14065064
2,2,2025-08-30 13:30:00+00:00,SV Werder Bremen,Bayer 04 Leverkusen,3.0,3.0,14065063
2,2,2025-08-30 13:30:00+00:00,TSG Hoffenheim,Eintracht Frankfurt,1.0,3.0,14065071
2,2,2025-08-30 16:30:00+00:00,FC Augsburg,FC Bayern München,2.0,3.0,14065075
2,2,2025-08-31 13:30:00+00:00,VfL Wolfsburg,1. FSV Mainz 05,1.0,1.0,14065067
2,2,2025-08-31 15:30:00+00:00,Borussia Dortmund,1. FC Union Berlin,3.0,0.0,14065066
2,2,2025-08-31 17:30:00+00:00,1. FC Köln,SC Freiburg,4.0,1.0,14065073
3,3,2025-09-12 18:30:00+00:00,Bayer 04 Leverkusen,Eintracht Frankfurt,3.0,1.0,14065076
3,3,2025-09-13 13:30:00+00:00,VfL Wolfsburg,1. FC Köln,3.0,3.0,14065077
3,3,2025-09-13 13:30:00+00:00,SC Freiburg,VfB Stuttgart,3.0,1.0,14065079
3,3,2025-09-13 13:30:00+00:00,1. FC Heidenheim,Borussia Dortmund,0.0,2.0,14065082
3,3,2025-09-13 13:30:00+00:00,1. FC Union Berlin,TSG Hoffenheim,2.0,4.0,14065081
3,3,2025-09-13 13:30:00+00:00,1. FSV Mainz 05,RB Leipzig,0.0,1.0,14065078
3,3,2025-09-13 16:30:00+00:00,FC Bayern München,Hamburger SV,5.0,0.0,14057801
3,3,2025-09-14 13:30:00+00:00,FC St. Pauli,FC Augsburg,2.0,1.0,14065083
3,3,2025-09-14 15:30:00+00:00,Borussia M'gladbach,SV Werder Bremen,0.0,4.0,14065080
4,4,2025-09-19 18:30:00+00:00,VfB Stuttgart,FC St. Pauli,2.0,0.0,14065089
4,4,2025-09-20 13:30:00+00:00,TSG Hoffenheim,FC Bayern München,1.0,4.0,14065096
4,4,2025-09-20 13:30:00+00:00,FC Augsburg,1. FSV Mainz 05,1.0,4.0,14065093
4,4,2025-09-20 13:30:00+00:00,Hamburger SV,1. FC Heidenheim,2.0,1.0,14065090
4,4,2025-09-20 13:30:00+00:00,SV Werder Bremen,SC Freiburg,0.0,3.0,14065086
4,4,2025-09-20 16:30:00+00:00,RB Leipzig,1. FC Köln,3.0,1.0,14065091
4,4,2025-09-21 13:30:00+00:00,Eintracht Frankfurt,1. FC Union Berlin,3.0,4.0,14065087
4,4,2025-09-21 15:30:00+00:00,Bayer 04 Leverkusen,Borussia M'gladbach,1.0,1.0,14065084
4,4,2025-09-21 17:30:00+00:00,Borussia Dortmund,VfL Wolfsburg,1.0,0.0,14065085
5,5,2025-09-26 18:30:00+00:00,FC Bayern München,SV Werder Bremen,4.0,0.0,14065088
5,5,2025-09-27 13:30:00+00:00,VfL Wolfsburg,RB Leipzig,0.0,1.0,14065103
5,5,2025-09-27 13:30:00+00:00,FC St. Pauli,Bayer 04 Leverkusen,1.0,2.0,14065095
5,5,2025-09-27 13:30:00+00:00,1. FSV Mainz 05,Borussia Dortmund,0.0,2.0,14065094
5,5,2025-09-27 13:30:00+00:00,1. FC Heidenheim,FC Augsburg,2.0,1.0,14065102
5,5,2025-09-27 16:30:00+00:00,Borussia M'gladbach,Eintracht Frankfurt,4.0,6.0,14065092
5,5,2025-09-28 13:30:00+00:00,SC Freiburg,TSG Hoffenheim,1.0,1.0,14065097
5,5,2025-09-28 15:30:00+00:00,1. FC Köln,VfB Stuttgart,1.0,2.0,14065099
5,5,2025-09-28 17:30:00+00:00,1. FC Union Berlin,Hamburger SV,0.0,0.0,14065101
6,6,2025-10-03 18:30:00+00:00,TSG Hoffenheim,1. FC Köln,0.0,1.0,14065113
6,6,2025-10-04 13:30:00+00:00,FC Augsburg,VfL Wolfsburg,3.0,1.0,14065107
6,6,2025-10-04 13:30:00+00:00,Bayer 04 Leverkusen,1. FC Union Berlin,2.0,0.0,14065104
6,6,2025-10-04 13:30:00+00:00,Borussia Dortmund,RB Leipzig,1.0,1.0,14065098
6,6,2025-10-04 13:30:00+00:00,SV Werder Bremen,FC St. Pauli,1.0,0.0,14065106
6,6,2025-10-04 16:30:00+00:00,Eintracht Frankfurt,FC Bayern München,0.0,3.0,14065100
6,6,2025-10-05 13:30:00+00:00,VfB Stuttgart,1. FC Heidenheim,1.0,0.0,14065105
6,6,2025-10-05 15:30:00+00:00,Hamburger SV,1. FSV Mainz 05,4.0,0.0,14065108
6,6,2025-10-05 17:30:00+00:00,Borussia M'gladbach,SC Freiburg,0.0,0.0,14065110
7,7,2025-10-17 18:30:00+00:00,1. FC Union Berlin,Borussia M'gladbach,3.0,1.0,14065117
7,7,2025-10-18 13:30:00+00:00,1. FSV Mainz 05,Bayer 04 Leverkusen,3.0,4.0,14065112
7,7,2025-10-18 13:30:00+00:00,1. FC Köln,FC Augsburg,1.0,1.0,14065119
7,7,2025-10-18 13:30:00+00:00,1. FC Heidenheim,SV Werder Bremen,2.0,2.0,14065118
7,7,2025-10-18 13:30:00+00:00,VfL Wolfsburg,VfB Stuttgart,0.0,3.0,14065115
7,7,2025-10-18 13:30:00+00:00,RB Leipzig,Hamburger SV,2.0,1.0,14065114
7,7,2025-10-18 16:30:00+00:00,FC Bayern München,Borussia Dortmund,2.0,1.0,14065109
7,7,2025-10-19 13:30:00+00:00,SC Freiburg,Eintracht Frankfurt,2.0,2.0,14065111
7,7,2025-10-19 15:30:00+00:00,FC St. Pauli,TSG Hoffenheim,0.0,3.0,14065116
8,8,2025-10-24 18:30:00+00:00,SV Werder Bremen,1. FC Union Berlin,1.0,0.0,14065124
8,8,2025-10-25 13:30:00+00:00,Eintracht Frankfurt,FC St. Pauli,2.0,0.0,14065120
8,8,2025-10-25 13:30:00+00:00,FC Augsburg,RB Leipzig,0.0,6.0,14065127
8,8,2025-10-25 13:30:00+00:00,Hamburger SV,VfL Wolfsburg,0.0,1.0,14065129
8,8,2025-10-25 13:30:00+00:00,TSG Hoffenheim,1. FC Heidenheim,3.0,1.0,14065126
8,8,2025-10-25 13:45:00+00:00,Borussia M'gladbach,FC Bayern München,0.0,3.0,14065125
8,8,2025-10-25 16:30:00+00:00,Borussia Dortmund,1. FC Köln,1.0,0.0,14065122
8,8,2025-10-26 14:30:00+00:00,Bayer 04 Leverkusen,SC Freiburg,2.0,0.0,14065121
8,8,2025-10-26 16:30:00+00:00,VfB Stuttgart,1. FSV Mainz 05,2.0,1.0,14065123
9,9,2025-10-31 19:30:00+00:00,FC Augsburg,Borussia Dortmund,0.0,1.0,14065133
9,9,2025-11-01 14:30:00+00:00,1. FSV Mainz 05,SV Werder Bremen,1.0,1.0,14065130
9,9,2025-11-01 14:30:00+00:00,RB Leipzig,VfB Stuttgart,3.0,1.0,14065132
9,9,2025-11-01 14:30:00+00:00,1. FC Heidenheim,Eintracht Frankfurt,1.0,1.0,14065136
9,9,2025-11-01 14:30:00+00:00,1. FC Union Berlin,SC Freiburg,0.0,0.0,14065134
9,9,2025-11-01 14:30:00+00:00,FC St. Pauli,Borussia M'gladbach,0.0,4.0,14065135
9,9,2025-11-01 17:30:00+00:00,FC Bayern München,Bayer 04 Leverkusen,3.0,0.0,14065128
9,9,2025-11-02 14:30:00+00:00,1. FC Köln,Hamburger SV,4.0,1.0,14065139
9,9,2025-11-02 16:30:00+00:00,VfL Wolfsburg,TSG Hoffenheim,2.0,3.0,14065131
10,10,2025-11-07 19:30:00+00:00,SV Werder Bremen,VfL Wolfsburg,2.0,1.0,14065138
10,10,2025-11-08 14:30:00+00:00,1. FC Union Berlin,FC Bayern München,2.0,2.0,14065143
10,10,2025-11-08 14:30:00+00:00,Bayer 04 Leverkusen,1. FC Heidenheim,6.0,0.0,14065137
10,10,2025-11-08 14:30:00+00:00,Hamburger SV,Borussia Dortmund,1.0,1.0,14065146
10,10,2025-11-08 14:30:00+00:00,TSG Hoffenheim,RB Leipzig,3.0,1.0,14065145
10,10,2025-11-08 17:30:00+00:00,Borussia M'gladbach,1. FC Köln,3.0,1.0,14065144
10,10,2025-11-09 14:30:00+00:00,SC Freiburg,FC St. Pauli,2.0,1.0,14065142
10,10,2025-11-09 16:30:00+00:00,VfB Stuttgart,FC Augsburg,3.0,2.0,14065141
10,10,2025-11-09 18:30:00+00:00,Eintracht Frankfurt,1. FSV Mainz 05,1.0,0.0,14065140
11,11,2025-11-21 19:30:00+00:00,1. FSV Mainz 05,TSG Hoffenheim,1.0,1.0,14065149
11,11,2025-11-22 14:30:00+00:00,VfL Wolfsburg,Bayer 04 Leverkusen,1.0,3.0,14065150
11,11,2025-11-22 14:30:00+00:00,1. FC Heidenheim,Borussia M'gladbach,0.0,3.0,14065153
11,11,2025-11-22 14:30:00+00:00,Borussia Dortmund,VfB Stuttgart,3.0,3.0,14065147
11,11,2025-11-22 14:30:00+00:00,FC Augsburg,Hamburger SV,1.0,0.0,14065152
11,11,2025-11-22 14:30:00+00:00,FC Bayern München,SC Freiburg,6.0,2.0,14065148
11,11,2025-11-22 17:30:00+00:00,1. FC Köln,Eintracht Frankfurt,3.0,4.0,14065155
11,11,2025-11-23 14:30:00+00:00,RB Leipzig,SV Werder Bremen,2.0,0.0,14065151
11,11,2025-11-23 16:30:00+00:00,FC St. Pauli,1. FC Union Berlin,0.0,1.0,14065154
12,12,2025-11-28 19:30:00+00:00,Borussia M'gladbach,RB Leipzig,0.0,0.0,14065166
12,12,2025-11-29 14:30:00+00:00,1. FC Union Berlin,1. FC Heidenheim,1.0,2.0,14065164
12,12,2025-11-29 14:30:00+00:00,FC Bayern München,FC St. Pauli,3.0,1.0,14065156
12,12,2025-11-29 14:30:00+00:00,SV Werder Bremen,1. FC Köln,1.0,1.0,14065159
12,12,2025-11-29 14:30:00+00:00,TSG Hoffenheim,FC Augsburg,3.0,0.0,14065163
12,12,2025-11-29 17:30:00+00:00,Bayer 04 Leverkusen,Borussia Dortmund,1.0,2.0,14065158
12,12,2025-11-30 14:30:00+00:00,Hamburger SV,VfB Stuttgart,2.0,1.0,14065162
12,12,2025-11-30 16:30:00+00:00,Eintracht Frankfurt,VfL Wolfsburg,1.0,1.0,14065157
12,12,2025-11-30 18:30:00+00:00,SC Freiburg,1. FSV Mainz 05,4.0,0.0,14065160
13,13,2025-12-05 19:30:00+00:00,1. FSV Mainz 05,Borussia M'gladbach,0.0,1.0,14065165
13,13,2025-12-06 14:30:00+00:00,1. FC Heidenheim,SC Freiburg,2.0,1.0,14065173
13,13,2025-12-06 14:30:00+00:00,1. FC Köln,FC St. Pauli,1.0,1.0,14065171
13,13,2025-12-06 14:30:00+00:00,FC Augsburg,Bayer 04 Leverkusen,2.0,0.0,14065169
