round,week,date,home_team,away_team,home_score,away_score,game_id
1,1,2025-08-15 18:45:00+00:00,Stade Rennais,Olympique de Marseille,1.0,0.0,14061188
1,1,2025-08-16 15:00:00+00:00,RC Lens,Olympique Lyonnais,0.0,1.0,14061760
1,1,2025-08-16 17:00:00+00:00,AS Monaco,Le Havre,3.0,1.0,14061187
1,1,2025-08-16 19:05:00+00:00,Nice,Toulouse,0.0,1.0,14061183
1,1,2025-08-17 13:00:00+00:00,Stade Brestois,Lille,3.0,3.0,14061179
1,1,2025-08-17 15:15:00+00:00,Auxerre,Lorient,1.0,0.0,14061182
1,1,2025-08-17 15:15:00+00:00,Metz,RC Strasbourg,0.0,1.0,14061192
1,1,2025-08-17 15:15:00+00:00,Angers,Paris FC,1.0,0.0,14061180
1,1,2025-08-17 18:45:00+00:00,Nantes,Paris Saint-Germain,0.0,1.0,14061185
2,2,2025-08-22 18:45:00+00:00,Paris Saint-Germain,Angers,1.0,0.0,14065702
2,2,2025-08-23 15:00:00+00:00,Olympique de Marseille,Paris FC,5.0,2.0,14065703
2,2,2025-08-23 17:00:00+00:00,Nice,Auxerre,3.0,1.0,14065698
2,2,2025-08-23 19:05:00+00:00,Olympique Lyonnais,Metz,3.0,0.0,14065707
2,2,2025-08-24 13:00:00+00:00,Lorient,Stade Rennais,4.0,0.0,14065700
2,2,2025-08-24 15:15:00+00:00,RC Strasbourg,Nantes,1.0,0.0,14065710
2,2,2025-08-24 15:15:00+00:00,Le Havre,RC Lens,1.0,2.0,14065699
2,2,2025-08-24 15:15:00+00:00,Toulouse,Stade Brestois,2.0,0.0,14065701
2,2,2025-08-24 18:45:00+00:00,Lille,AS Monaco,1.0,0.0,14065697
3,3,2025-08-29 18:45:00+00:00,RC Lens,Stade Brestois,3.0,1.0,14065713
3,3,2025-08-30 15:00:00+00:00,Lorient,Lille,1.0,7.0,14065716
3,3,2025-08-30 17:00:00+00:00,Nantes,Auxerre,1.0,0.0,14065717
3,3,2025-08-30 19:05:00+00:00,Toulouse,Paris Saint-Germain,3.0,6.0,14065705
3,3,2025-08-31 13:00:00+00:00,Angers,Stade Rennais,1.0,1.0,14065714
3,3,2025-08-31 15:15:00+00:00,AS Monaco,RC Strasbourg,3.0,2.0,14065706
3,3,2025-08-31 15:15:00+00:00,Le Havre,Nice,3.0,1.0,14065712
3,3,2025-08-31 15:15:00+00:00,Paris FC,Metz,3.0,2.0,14065708
3,3,2025-08-31 18:45:00+00:00,Olympique Lyonnais,Olympique de Marseille,1.0,0.0,14065715
4,4,2025-09-12 18:45:00+00:00,Olympique de Marseille,Lorient,4.0,0.0,14065718
4,4,2025-09-13 15:00:00+00:00,Nice,Nantes,1.0,0.0,14065721
4,4,2025-09-13 19:05:00+00:00,Auxerre,AS Monaco,1.0,2.0,14065719
4,4,2025-09-14 13:00:00+00:00,Lille,Toulouse,2.0,1.0,14065728
4,4,2025-09-14 15:15:00+00:00,Metz,Angers,1.0,1.0,14065723
4,4,2025-09-14 15:15:00+00:00,Paris Saint-Germain,RC Lens,2.0,0.0,14065720
4,4,2025-09-14 15:15:00+00:00,RC Strasbourg,Le Havre,1.0,0.0,14065724
4,4,2025-09-14 15:15:00+00:00,Stade Brestois,Paris FC,1.0,2.0,14065722
4,4,2025-09-14 18:45:00+00:00,Stade Rennais,Olympique Lyonnais,3.0,1.0,14065727
5,5,2025-09-19 18:45:00+00:00,Olympique Lyonnais,Angers,1.0,0.0,14065737
5,5,2025-09-20 15:00:00+00:00,Nantes,Stade Rennais,2.0,2.0,14065726
5,5,2025-09-20 17:00:00+00:00,Stade Brestois,Nice,4.0,1.0,14065730
5,5,2025-09-20 19:05:00+00:00,RC Lens,Lille,3.0,0.0,14065725
5,5,2025-09-21 13:00:00+00:00,Paris FC,RC Strasbourg,2.0,3.0,14065729
5,5,2025-09-21 15:15:00+00:00,AS Monaco,Metz,5.0,2.0,14065733
5,5,2025-09-21 15:15:00+00:00,Auxerre,Toulouse,1.0,0.0,14065731
5,5,2025-09-21 15:15:00+00:00,Le Havre,Lorient,1.0,1.0,14065732
5,5,2025-09-22 18:00:00+00:00,Olympique de Marseille,Paris Saint-Germain,1.0,0.0,14065734
6,6,2025-09-26 18:45:00+00:00,RC Strasbourg,Olympique de Marseille,1.0,2.0,14065740
6,6,2025-09-27 15:00:00+00:00,Lorient,AS Monaco,3.0,1.0,14167868
6,6,2025-09-27 17:00:00+00:00,Toulouse,Nantes,2.0,2.0,14065736
6,6,2025-09-27 19:05:00+00:00,Paris Saint-Germain,Auxerre,2.0,0.0,14167872
6,6,2025-09-28 13:00:00+00:00,Nice,Paris FC,1.0,1.0,14065741
6,6,2025-09-28 15:15:00+00:00,Angers,Stade Brestois,0.0,2.0,14065738
6,6,2025-09-28 15:15:00+00:00,Lille,Olympique Lyonnais,0.0,1.0,14167870
6,6,2025-09-28 15:15:00+00:00,Metz,Le Havre,0.0,0.0,14065735
6,6,2025-09-28 18:45:00+00:00,Stade Rennais,RC Lens,0.0,0.0,14065739
7,7,2025-10-03 18:45:00+00:00,Paris FC,Lorient,2.0,0.0,14661320
7,7,2025-10-04 15:00:00+00:00,Metz,Olympique de Marseille,0.0,3.0,14167876
7,7,2025-10-04 17:00:00+00:00,Stade Brestois,Nantes,0.0,0.0,14167886
7,7,2025-10-04 19:05:00+00:00,Auxerre,RC Lens,1.0,2.0,14167888
7,7,2025-10-05 13:00:00+00:00,Olympique Lyonnais,Toulouse,1.0,2.0,14167878
7,7,2025-10-05 15:15:00+00:00,AS Monaco,Nice,2.0,2.0,14167874
7,7,2025-10-05 15:15:00+00:00,Le Havre,Stade Rennais,2.0,2.0,14167880
7,7,2025-10-05 15:15:00+00:00,RC Strasbourg,Angers,5.0,0.0,14167884
7,7,2025-10-05 18:45:00+00:00,Lille,Paris Saint-Germain,1.0,1.0,14167890
8,8,2025-10-17 18:45:00+00:00,Paris Saint-Germain,RC Strasbourg,3.0,3.0,14167897
8,8,2025-10-18 15:00:00+00:00,Nice,Olympique Lyonnais,3.0,2.0,14167895
8,8,2025-10-18 17:00:00+00:00,Angers,AS Monaco,1.0,1.0,14167905
8,8,2025-10-18 19:05:00+00:00,Olympique de Marseille,Le Havre,6.0,2.0,14167893
8,8,2025-10-19 13:00:00+00:00,RC Lens,Paris FC,2.0,1.0,14167901
8,8,2025-10-19 15:15:00+00:00,Lorient,Stade Brestois,3.0,3.0,14167903
