round,week,date,home_team,away_team,home_score,away_score,game_id
1,1,2025-08-23 16:30:00+00:00,Genoa,Lecce,0.0,0.0,13981422
1,1,2025-08-23 16:30:00+00:00,Sassuolo,Napoli,0.0,2.0,13981431
1,1,2025-08-23 18:45:00+00:00,Milan,Cremonese,1.0,2.0,13981439
1,1,2025-08-23 18:45:00+00:00,Roma,Bologna,1.0,0.0,13981428
1,1,2025-08-24 16:30:00+00:00,Cagliari,Fiorentina,1.0,1.0,13981425
1,1,2025-08-24 16:30:00+00:00,Como,Lazio,2.0,0.0,13981423
1,1,2025-08-24 18:45:00+00:00,Atalanta,Pisa,1.0,1.0,13981444
1,1,2025-08-24 18:45:00+00:00,Juventus,Parma,2.0,0.0,13981424
1,1,2025-08-25 16:30:00+00:00,Udinese,Hellas Verona,1.0,1.0,13981438
1,1,2025-08-25 18:45:00+00:00,Inter,Torino,5.0,0.0,13981421
2,2,2025-08-29 16:30:00+00:00,Cremonese,Sassuolo,3.0,2.0,13981443
2,2,2025-08-29 18:45:00+00:00,Lecce,Milan,0.0,2.0,13981447
2,2,2025-08-30 16:30:00+00:00,Bologna,Como,1.0,0.0,13981433
2,2,2025-08-30 16:30:00+00:00,Parma,Atalanta,1.0,1.0,13981426
2,2,2025-08-30 18:45:00+00:00,Napoli,Cagliari,1.0,0.0,13981436
2,2,2025-08-30 18:45:00+00:00,Pisa,Roma,0.0,1.0,13981441
2,2,2025-08-31 16:30:00+00:00,Genoa,Juventus,0.0,1.0,13981448
2,2,2025-08-31 16:30:00+00:00,Torino,Fiorentina,0.0,0.0,13981429
2,2,2025-08-31 18:45:00+00:00,Inter,Udinese,1.0,2.0,13981432
2,2,2025-08-31 18:45:00+00:00,Lazio,Hellas Verona,4.0,0.0,13981446
3,3,2025-09-13 13:00:00+00:00,Cagliari,Parma,2.0,0.0,13981427
3,3,2025-09-13 16:00:00+00:00,Juventus,Inter,4.0,3.0,13981435
3,3,2025-09-13 18:45:00+00:00,Fiorentina,Napoli,1.0,3.0,13981442
3,3,2025-09-14 10:30:00+00:00,Roma,Torino,0.0,1.0,13981434
3,3,2025-09-14 13:00:00+00:00,Atalanta,Lecce,4.0,1.0,13981450
3,3,2025-09-14 13:00:00+00:00,Pisa,Udinese,0.0,1.0,13981445
3,3,2025-09-14 16:00:00+00:00,Sassuolo,Lazio,1.0,0.0,13981449
3,3,2025-09-14 18:45:00+00:00,Milan,Bologna,1.0,0.0,13981437
3,3,2025-09-15 16:30:00+00:00,Hellas Verona,Cremonese,0.0,0.0,13981451
3,3,2025-09-15 18:45:00+00:00,Como,Genoa,1.0,1.0,13981430
4,4,2025-09-19 18:45:00+00:00,Lecce,Cagliari,1.0,2.0,13981455
4,4,2025-09-20 13:00:00+00:00,Bologna,Genoa,2.0,1.0,13981460
4,4,2025-09-20 16:00:00+00:00,Hellas Verona,Juventus,1.0,1.0,13981452
4,4,2025-09-20 18:45:00+00:00,Udinese,Milan,0.0,3.0,13981453
